Date,Adj Close,Rtns,Scaled,,,,Mean,0.000304407,,,
12/30/27,17.66,,,,,,Std Dev,0.011964573,,,
1/3/28,17.76,0.005662514,0.447831021,,,,,,,,
1/4/28,17.719999,-0.002252309,-0.213690518,,,,Min,-17.13172016,,,
1/5/28,17.549999,-0.00959368,-0.827282951,,,,Max,13.85686591,,,
1/6/28,17.66,0.006267864,0.498426178,,,,,,,,
1/9/28,17.5,-0.009060023,-0.782679826,,,,Bucketwidth,0.15494293,,,
1/10/28,17.370001,-0.007428514,-0.646318222,,,,,,,,
1/11/28,17.35,-0.001151468,-0.121682171,,,,Count,24127,,,
1/12/28,17.469999,0.006916369,0.552628302,,,,,,,,
1/13/28,17.58,0.006296566,0.500825118,,,,Bucket,Mid,Freq,Empirical PDF,Normal
1/16/28,17.290001,-0.016495961,-1.404176196,,,,-17.13172016,-17.20919163,1,0.000267501,1.9561E-65
1/17/28,17.299999,0.000578253,0.022888076,,,,-16.97677723,-17.0542487,0,0,2.78099E-64
1/18/28,17.26,-0.002312081,-0.218686308,,,,-16.8218343,-16.89930577,0,0,3.85995E-63
1/19/28,17.379999,0.006952433,0.555642576,,,,-16.66689137,-16.74436284,0,0,5.23043E-62
1/20/28,17.48,0.005753798,0.455460515,,,,-16.51194844,-16.58941991,0,0,6.91938E-61
1/23/28,17.639999,0.009153261,0.739587921,,,,-16.35700551,-16.43447698,0,0,8.93656E-60
1/24/28,17.709999,0.003968254,0.306224633,,,,-16.20206258,-16.27953405,0,0,1.1268E-58
1/25/28,17.52,-0.010728346,-0.922118444,,,,-16.04711965,-16.12459112,0,0,1.38707E-57
1/26/28,17.629999,0.006278482,0.499313642,,,,-15.89217672,-15.96964818,0,0,1.66695E-56
1/27/28,17.690001,0.003403403,0.259014364,,,,-15.73723379,-15.81470525,0,0,1.95578E-55
1/30/28,17.49,-0.011305878,-0.970388635,,,,-15.58229086,-15.65976232,0,0,2.24023E-54
1/31/28,17.57,0.004574042,0.356856454,,,,-15.42734793,-15.50481939,0,0,2.50518E-53
2/1/28,17.530001,-0.002276551,-0.215716698,,,,-15.272405,-15.34987646,0,0,2.735E-52
2/2/28,17.629999,0.005704392,0.451331187,,,,-15.11746207,-15.19493353,0,0,2.91508E-51
